index,distance
799,0.36358,
800,0.36358,
801,0.36358,
802,0.35929,
803,0.36358,
804,0.36358,
805,0.39291,
806,0.35243,
807,0.35226,
808,0.37661,
809,0.35929,
810,0.35929,
811,0.35929,
812,0.36392,
813,0.3809,
814,0.35946,
815,0.36924,
816,0.36307,
817,0.35946,
818,0.36358,
819,0.35929,
820,0.35929,
821,0.39531,
822,0.35946,
823,0.34763,
824,0.36924,
825,0.36375,
826,0.35946,
827,0.36375,
828,0.36375,
829,0.38913,
830,0.36358,
831,0.37799,
832,0.36924,
833,0.37799,
834,0.36375,
835,0.36375,
836,0.36375,
837,0.39634,
838,0.36375,
839,0.37781,
840,0.37318,
841,0.36375,
842,0.37936,
843,0.32465,
844,0.35946,
845,0.35895,
846,0.35912,
847,0.36787,
848,0.36684,
849,0.35929,
850,0.35929,
851,0.35946,
852,0.34351,
853,0.38159,
854,0.38262,
855,0.35946,
856,0.35946,
857,0.37164,
858,0.35483,
859,0.34506,
860,0.35929,
861,0.35929,
862,0.39496,
863,0.35895,
864,0.38382,
865,0.36375,
866,0.35929,
867,0.3785,
868,0.33786,
869,0.36375,
870,0.38107,
871,0.36787,
872,0.37233,
873,0.36598,
874,0.35912,
875,0.36804,
876,0.36787,
877,0.36375,
878,0.39256,
879,0.36787,
880,0.37816,
881,0.36873,
882,0.35929,
883,0.35946,
884,0.35946,
885,0.35929,
886,0.39565,
887,0.36375,
888,0.36615,
889,0.36444,
890,0.35929,
891,0.36341,
892,0.36358,
893,0.35929,
894,0.39599,
895,0.35912,
896,0.3442,
897,0.34026,
898,0.35929,
899,0.35912,
900,0.35912,
901,0.35929,
902,0.35929,
903,0.35929,
904,0.35929,
905,0.36375,
906,0.35895,
907,0.35929,
908,0.35929,
909,0.36358,
910,0.42995,
911,0.35929,
912,0.36358,
913,0.35929,
914,0.36341,
915,0.37644,
916,0.3665,
917,0.35929,
918,0.39462,
919,0.36358,
920,0.36529,
921,0.36461,
922,0.35929,
923,0.35929,
924,0.36358,
925,0.35775,
926,0.36444,
927,0.37318,
928,0.34231,
929,0.35895,
930,0.35895,
931,0.35895,
932,0.36375,
933,0.3406,
934,0.35912,
935,0.38639,
936,0.36358,
937,0.35895,
938,0.3773,
939,0.35895,
940,0.36358,
941,0.35912,
942,0.66971,
943,0.35912,
944,0.36358,
945,0.36358,
946,0.35929,
947,0.35912,
948,0.36255,
949,0.35912,
950,0.35912,
951,0.3406,
952,0.35912,
953,0.38982,
954,0.35964,
955,0.37901,
956,0.36941,
957,0.35929,
958,0.36375,
959,0.35946,
960,0.36375,
961,0.39394,
962,0.35946,
963,0.37627,
964,0.37095,
965,0.35946,
966,0.36529,
967,0.34797,
968,0.36392,
969,0.38913,
970,0.35929,
971,0.35946,
972,0.36632,
973,0.35964,
974,0.35964,
975,0.32756,
976,0.35946,
977,0.35946,
978,0.35946,
979,0.35929,
980,0.36255,
981,0.35929,
982,0.35946,
983,0.35964,
984,0.35964,
985,0.35929,
986,0.35929,
987,0.35929,
988,0.37438,
989,0.35929,
990,0.35929,
991,0.35946,
992,0.35946,
993,0.35929,
994,0.35946,
995,0.35946,
996,0.37816,
997,0.35946,
998,0.35946,
999,0.35964,
